id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
27012,,Advertising Club and The Downtown Association,dinner,HOTEL,The Palace Hotel,8 x 5 in. fold. ; ill.,,"Note : ""Complimentary dinner to the Century of Commerce..."" Illustration : Telegraph Hill Observatory, San Francisco. ""Menu compiled and donated by the Walter J. Mann Co., Photo-engravers. Assisted by Mrs. Helen Van Sicklen, of the Society of California P",Soete 37,1912-09-11,Advertising Club And The Downtown Association,,,under review,4,26,1912.0
27052,,San Francisco Overland Limited,breakfast,RAILROAD,San Francisco Overland Limited,"9 x 5 in., fold. ; ill.",,"Photographic illustration of Crater Lake, Oregon. Includes a la carte and table d'hote service options. Manager : Harry A. Butler. Menu Title : Southern Pacific Breakfast Select. Advertisement on obverse : Southern Pacific Plaza at San Diego Fair.",Soete 3,1920-01-01,San Francisco Overland Limited,Dollars,$,complete,6,104,1920.0
27053,,San Francisco Overland Limited,lunch,RAILROAD,San Francisco Overland Limited,"9 x 5 in., fold. ; ill.",,"Date range taken from similar items in collection. Photographic illustration : Carlsbad Caverns. Includes ""luncheon select"" and a la carte options. Manager : Harry A. Butler. Advertisement : Guest Ranches of the Southwest.",Soete 11,1920-01-01,San Francisco Overland Limited,Dollars,$,under review,6,116,1920.0
27093,,San Francisco Overland Limited,dinner,RAILROAD,San Francisco Overland Limited,"9 x 6 in., fold. ; ill.",,"Includes a la carte and ""dinner select"" options.  Manager : Harry A. Butler",Soete 5,1920-01-01,San Francisco Overland Limited,Dollars,$,complete,4,121,1920.0
27099,,"Chicago, Milwaukee & St. Paul Railway",dinner,RAILROAD,,7 x 5 in. ,,Includes beverage list.,Soete 149,1915-08-07,"Chicago, Milwaukee & St. Paul Railway",Dollars,$,complete,2,45,1915.0
27109,,National Parlor No. 118,dinner,HOTEL,Fairmont Hotel,4 1/2 x 3 1/2 in. fold.,ANNIVERSARY,Event : Commemorating Sixtieth Anniversary of Admission to California into the Union. ,Soete 47,1910-09-08,National Parlor No. 118,,,under review,2,17,1910.0
27175,,San Francisco Chamber of Commerce,dinner,,"California Building, Panama Pacific International Exposition",10 x 5 in. fold. ; ill.,,Photographic illustration : California Building. Includes : menu and list of speakers. Menu printed on bark. Insert : list of songs with lyrics.,Soete 204,1915-03-19,San Francisco Chamber Of Commerce,,,under review,4,12,1915.0
27203,,Quartermaster Corps,dinner,,,7 1/2 x 4 1/2 in.,RELIGIOUS HOLIDAY,Menu title : Transport Thomas.,Soete 31,1913-01-01,Quartermaster Corps,,,under review,1,28,1913.0
27207,,Corinthian Cooks & Waiters Union No. 23,dinner,,,8 1/2 x 5 1/2 in. fold.,,Event : Twenty-fifth Corinthian Annual Dinner. Honorary Roll : Victor Hirtzler and Robert Spitznagel.,Soete 36,1916-01-09,Corinthian Cooks & Waiters Union No. 23,,,complete,3,9,1916.0
27212,,Wester Retail Lumbermen's Association,dinner,"OTHER,Club",San Francisco Commerical Club,9 x 6 in. ; ill.,"OTHER,Conference","Includes event program. Photographic illustrations : The Lumberman's Building and House of Hoo Hoo, Enterance to Court of The Four Seasons.",Soete 48,1915-02-19,Wester Retail Lumbermen's Association,,,complete,8,14,1915.0
